Jitter,Shimmer,HNR,NHR,VTL,VFER,GNE,GQ,F0,F1,F2,F3,Label
0.0003603870967741935,0.014094711,20.270675623644316,0.04701308118715364,17.25,0.7190973500327319,0.982471807259441,0.7148468826824312,251.19,507.39,1957.85,2984.98,1
3.870129870129871e-05,0.010373995,16.79975686208916,0.056180542675268307,10.79,0.9746835311217027,0.9794723391590592,0.6673796817463742,320.76,811.25,1262.34,2615.67,1
7.3298429319371645e-06,0.008800726,23.740863886581668,0.04041896049322494,22.73,0.999999997204674,0.9957826833063335,0.4872700718720551,380.46,385.03,996.27,2678.72,1
3.1249999999999993e-06,0.0057678223,20.09402126220726,0.04740679776366931,29.38,0.9999999937853139,0.9902091655954387,0.5244176151823111,268.65,297.86,2653.94,3347.54,1
0.0,0.0037160474,16.171812720558872,0.058234970079935396,19.64,0.9999999338443541,0.9760441430427316,0.7234648680979283,247.27,445.6,2740.56,3262.94,1
0.0,0.0023636196,22.274370462046598,0.04296571637160692,33.23,0.9999999589190931,0.9935545278400336,0.5200934265952686,106.49,263.29,2204.7,2690.26,1
0.0,0.0050424575,20.137372707565774,0.04730956935069165,29.79,0.9999999795806035,0.9887733224345768,0.5575840928724595,101.53,293.68,2116.86,2601.73,1
4.587155963302756e-06,0.003894771,18.44539818694705,0.05142604900069682,22.7,0.9999999625102551,0.9857847801351816,0.5385512223572271,263.16,385.53,2712.94,3166.16,1
0.0003331578947368421,0.004054421,24.554277952859522,0.03913239113406842,16.63,0.9999999835553239,0.996439301969303,0.6640702829768017,145.92,526.17,1853.29,2775.24,1
5.925925925925941e-06,0.011862861,17.198871466389104,0.05494846215309928,10.19,0.9999999976763229,0.9812627498777242,0.6115434294932647,461.1,859.0,1266.54,3611.21,1
0.00014497271073377806,0.0063219396,23.43172078889311,0.04093039571959292,18.94,0.7723917651759831,0.9939982560531995,0.6495453663374834,134.29,462.05,2079.07,2930.9,1
1.9322033898305077e-05,0.003175897,23.65472732941515,0.04056017276682336,18.11,0.9999999456226741,0.9956782247582062,0.7437320047718794,85.19,483.2,2546.87,3139.47,1
5.714285714285707e-06,0.0070355474,16.056172731958796,0.05862980023216241,8.95,0.9999999950951104,0.9757897993893397,0.611141612360887,265.75,977.41,1477.04,2709.78,1
3.096296296296296e-05,0.008469871,17.263726266889392,0.05475333923575696,11.67,0.9420289768951253,0.98147015662556,0.48865245749632263,208.03,749.68,1257.98,2913.18,1
0.0,0.0038257674,18.622247427469187,0.05096256194385256,25.03,0.9999999798605216,0.9860051146285043,0.7576606970591926,228.89,349.54,2865.27,3487.96,1
4.5217391304347605e-06,0.0035570227,23.796442711647888,0.040328365307426124,22.94,0.9999999917281333,0.9958301407564043,0.5255580030840374,326.58,381.38,857.23,2182.78,1
7.86127167630055e-06,0.0060521825,25.258617346352818,0.038082736299856805,25.67,0.9999999930883796,0.997019231655326,0.7031536337459607,264.6,340.91,911.47,2430.34,1
2.736842105263165e-06,0.0048680357,21.45807001143561,0.04452742374971677,16.31,0.9999999917225642,0.9928842845570586,0.743340534272691,321.74,536.47,2585.8,3594.15,1
2.5894736842105272e-05,0.0066984477,19.446088030345823,0.04890911153839369,25.47,0.9183673345782042,0.9880782809961386,0.6982850029117157,300.54,343.57,2502.86,2965.73,1
6.698795180722893e-05,0.0038477886,18.88846892394439,0.05028039130735029,13.19,0.9999999780504231,0.9871077014353499,0.6741434490004081,234.92,663.16,1146.24,2513.91,1
0.00024153846153846152,0.010409546,18.601057200825554,0.05101765633120453,13.26,0.9999999944490878,0.986359029115463,0.6937366661838654,115.72,659.81,1031.37,2596.13,1
0.0,0.0051904134,20.582346525101073,0.046334164769199805,29.28,0.9999999914850712,0.9912314845187583,0.678054726156509,228.81,298.83,2574.77,3161.15,1
4.2181818181818176e-05,0.005021159,23.635332480201438,0.04059210488852404,20.05,0.9705880775733301,0.9956506378054296,0.5610145825896649,255.59,436.5,1354.02,2835.46,1
0.00011171029042667621,0.005195158,21.589649461980894,0.04426806186979714,16.04,0.531881340711995,0.9894742845356307,0.5887481567697616,263.97,545.39,2033.45,3030.65,1
3.0333333333333333e-05,0.013075511,20.79297556512813,0.045886345213002604,26.73,0.9354838597475392,0.9913819539791022,0.5847297697847689,293.16,327.37,2583.47,3332.65,1
6.165413533834577e-06,0.0032587266,21.928735237629244,0.043613395577042594,31.23,0.9999999796218944,0.9935881934898656,0.6842581472015709,256.75,280.19,2743.23,3488.71,1
0.0,0.005719785,21.44949252951611,0.04454443674774481,26.65,0.9999999835991443,0.9928320940599623,0.4986229030141214,195.64,328.29,2239.08,2877.18,1
0.0007577333333333334,0.011202189,17.214621797603947,0.054900947772165413,11.6,0.9999999954290398,0.9813276808131306,0.5572510895280777,228.63,754.28,1328.43,2469.33,1
5.2631578947368405e-06,0.007185016,17.15614119659063,0.05507778272774065,10.68,0.9999999968199949,0.9810996472113857,0.66856264693189,281.98,819.54,1338.3,2573.74,1
0.0,0.0024847584,20.900298158786807,0.0456614787958392,18.36,0.9999999660234759,0.9918817161711341,0.6656288524845059,237.45,476.48,2762.13,3490.67,1
0.00024018348623853206,0.007922111,16.838601210440775,0.056058207042304915,11.38,0.9910714219729285,0.9796638364990521,0.6608369746067493,146.99,769.15,1215.12,2485.87,1
0.0,0.0024831863,23.515226715152085,0.0407909749976708,19.62,0.999999946872585,0.9955378474713211,0.6583356520421638,228.18,445.88,871.34,2429.22,1
5.5223880597015074e-06,0.0069115483,20.8067017631112,0.04585746211706471,26.17,0.9999999942450277,0.9917199110183165,0.6849565958483859,314.76,334.38,2604.93,3341.99,1
7.234042553191476e-06,0.008166699,16.52736183825582,0.057053651840367994,9.95,0.9999999834382804,0.9781819487202977,0.7601649772903497,263.04,879.79,1445.05,2528.75,1
0.00012366812227074234,0.0041004163,24.33186799137251,0.03947596759704332,17.43,0.9999999803087495,0.9962448080494608,0.6461621038363657,186.63,501.95,2664.81,3402.09,1
